Card Name,Card Description,Labels,Members,Due Date,Start Date,List Name,Checklist,Checklist item,Checklist item due,Checklist item member
Onboarding progresivo,SetupScreen reducido a 3 pasos (datos personales + modulos). Resto de preguntas se hacen contextualmente al entrar en cada pestana.,"Alta (orange), Producto (sky)",,,,Done,,,,
Soporte multiidioma (ES/EN/FR/IT),Sistema de traducciones completo + deteccion automatica del idioma del dispositivo.,"Alta (orange), Producto (sky)",,,,Done,,,,
Setup de ciclo contextual,Tarjeta inline en pestana Ciclo con fecha del ultimo periodo y preguntas de salud menstrual.,"Alta (orange), Producto (sky)",,,,Done,,,,
Setup nutricional contextual,Tarjeta inline en pestana Nutricion con dieta + alergias + objetivos.,"Alta (orange), Producto (sky)",,,,Done,,,,
Setup gimnasio contextual,Tarjeta inline en pestana Gimnasio con dias + nivel + acceso.,"Alta (orange), Producto (sky)",,,,Done,,,,
Perfil editable completo,"Tarjeta Mi Programa editable: objetivos, fitness, gym, dieta, alergias, cocina, presupuesto.","Alta (orange), Producto (sky)",,,,Done,,,,
Seccion Tu Salud editable,Etapa vital + condiciones (endometriosis/SOP/diabetes...) + anticoncepcion + medicacion.,"Alta (orange), Producto (sky)",,,,Done,,,,
Tabla de 19 dietas en Supabase,"Estandar/Vegana/Keto/Mediterranea/Antiinflamatoria/Ayunos con macros, alimentos, beneficios y contraindicaciones.","Alta (orange), Producto (sky), Nutricion (lime)",,,,Done,,,,
Ayunos combinables con dietas,16:8 / 18:6 / 5:2 / OMAD se pueden combinar con cualquier dieta base.,"Media (yellow), Nutricion (lime)",,,,Done,,,,
Tracker de peso + objetivo,Registro diario de peso con grafico SVG de evolucion + barra de progreso hacia objetivo.,"Alta (orange), Producto (sky)",,,,Done,,,,
Calculo de calorias personalizado,Mifflin-St Jeor + factor de actividad + ajuste por fase del ciclo + objetivo.,"Alta (orange), Nutricion (lime)",,,,Done,,,,
Algoritmo de personalizacion,Motor que adapta entrenos/nutricion a fase + trainDays + nivel fitness + condiciones.,"Critica (red), Producto (sky)",,,,Done,,,,
Sincronizacion con calendario (ICS),Exportacion de entrenos como .ics. Funciona en Expo Go y build nativo.,"Media (yellow), Producto (sky)",,,,Done,,,,
Notificaciones push locales,Aviso de ciclo + recordatorio de entreno + hidratacion diaria configurables.,"Alta (orange), Producto (sky)",,,,Done,,,,
Eliminar cuenta y datos,Funcion SQL delete_user_account + UI de confirmacion de 3 pasos (requisito App Store).,"Critica (red), Legal (purple)",,,,Done,,,,
Estados vacios,Componente EmptyState reutilizable + integracion en HomeScreen.,"Media (yellow), Producto (sky)",,,,Done,,,,
Banner offline,Deteccion de conexion a Supabase cada 30s + banner amarillo cuando no hay red.,"Media (yellow), Producto (sky)",,,,Done,,,,
Politica de privacidad,Generar en termly.io (gratis) + hostear en GitHub Pages + link en la app desde el perfil.,"Critica (red), Legal (purple)",,,,Sprint 1 - Pre-Beta,,,,
Terminos de uso,Documento obligatorio para apps con datos de salud sensibles.,"Critica (red), Legal (purple)",,,,Sprint 1 - Pre-Beta,,,,
Aviso medico en la app,Disclaimer en onboarding + en perfil: Esta app no sustituye el consejo medico profesional.,"Critica (red), Legal (purple)",,,,Sprint 1 - Pre-Beta,,,,
App Store Privacy Labels,"Declarar en App Store Connect que datos se recopilan (Health, Contact Info, User Content).","Critica (red), Legal (purple)",,,,Sprint 1 - Pre-Beta,,,,
Cuenta Apple Developer Program,Suscripcion anual de $99. Imprescindible para TestFlight y publicar en App Store.,"Critica (red), Infraestructura (black)",,,,Sprint 1 - Pre-Beta,,,,
Icono y splash screen definitivos,Diseno profesional del icono en todas las resoluciones + pantalla de carga.,"Alta (orange), Diseno (pink)",,,,Sprint 1 - Pre-Beta,,,,
Build nativo iOS,eas build --platform ios --profile preview. Habilita Apple Health + permisos calendario correctos + notificaciones.,"Critica (red), Infraestructura (black)",,,,Sprint 1 - Pre-Beta,,,,
Build nativo Android,eas build --platform android --profile preview. APK para testear antes de Google Play.,"Alta (orange), Infraestructura (black)",,,,Sprint 1 - Pre-Beta,,,,
Configurar Apple HealthKit real,"Una vez en build nativo: conectar lectura de pasos, ritmo cardiaco, sueno y entrenos del Apple Watch.","Alta (orange), Producto (sky)",,,,Sprint 1 - Pre-Beta,,,,
Auditoria de bugs pre-Beta,Recorrer todas las pantallas y flujos con 3-4 perfiles distintos y documentar issues.,"Critica (red), Calidad (lime)",,,,Sprint 1 - Pre-Beta,,,,
Cifrado y RLS en Supabase,Verificar que todas las tablas tienen Row Level Security activa y politicas correctas.,"Critica (red), Legal (purple), Infraestructura (black)",,,,Sprint 1 - Pre-Beta,,,,
Setup TestFlight,Subir build a App Store Connect + configurar grupo de testers + invitar beta testers.,"Critica (red), Lanzamiento (red)",,,,Sprint 2 - Beta cerrada,,,,
Reclutar 20-50 beta testers,"Amigas, redes sociales, comunidades de salud femenina, grupos de Telegram.","Critica (red), Crecimiento (lime)",,,,Sprint 2 - Beta cerrada,,,,
Formulario de feedback,Google Forms o Typeform con preguntas clave: que funciona? que falta? pagarias?,"Alta (orange), Calidad (lime)",,,,Sprint 2 - Beta cerrada,,,,
Sistema de analitica,"Integrar Mixpanel o PostHog free. Que pantallas se ven, funnel de onboarding, retencion.","Alta (orange), Producto (sky)",,,,Sprint 2 - Beta cerrada,,,,
Sistema de crash reporting,Sentry free. Capturar errores en produccion para iterar rapido.,"Alta (orange), Calidad (lime)",,,,Sprint 2 - Beta cerrada,,,,
Iterar segun feedback Beta,Reservar 2-4 semanas para corregir issues criticos antes de pasar a la siguiente fase.,"Critica (red), Producto (sky)",,,,Sprint 2 - Beta cerrada,,,,
Asistente IA con Claude API,"Chat contextual que conoce tu fase, dieta y condiciones. Coste estimado: ~50EUR/mes.","Alta (orange), Producto (sky)",,,,Sprint 3 - Pre-lanzamiento,,,,
Sistema de suscripcion + paywall,Integrar RevenueCat. Definir tiers (Free vs Premium) y precios.,"Critica (red), Negocio (green)",,,,Sprint 3 - Pre-lanzamiento,,,,
Definir freemium vs premium,Que funciones son gratuitas y que se desbloquea con Premium (IA / recetas avanzadas / sin limites).,"Critica (red), Negocio (green)",,,,Sprint 3 - Pre-lanzamiento,,,,
Pasarela de pago in-app,App Store + Google Play in-app purchases via RevenueCat.,"Critica (red), Negocio (green)",,,,Sprint 3 - Pre-lanzamiento,,,,
Historial completo del ciclo,Ver ciclos pasados + patrones + irregularidades en formato calendario o lista.,"Media (yellow), Producto (sky)",,,,Sprint 3 - Pre-lanzamiento,,,,
Sistema de referidos,Codigo de invitacion + descuento por traer a una amiga.,"Media (yellow), Crecimiento (lime)",,,,Sprint 3 - Pre-lanzamiento,,,,
Onboarding optimizado por retencion,Probar 2-3 variantes del onboarding y elegir la que mejor retiene a 7 dias.,"Alta (orange), Producto (sky)",,,,Sprint 3 - Pre-lanzamiento,,,,
Capturas de pantalla App Store,5-10 screenshots por idioma con copywriting persuasivo (plantillas Figma).,"Critica (red), Marketing (pink)",,,,Sprint 4 - Lanzamiento,,,,
Descripcion + keywords ASO,"Optimizar titulo, subtitulo, descripcion y keywords para App Store / Google Play.","Critica (red), Marketing (pink)",,,,Sprint 4 - Lanzamiento,,,,
Video preview de la app,15-30 segundos mostrando los flujos principales.,"Alta (orange), Marketing (pink)",,,,Sprint 4 - Lanzamiento,,,,
Landing page del producto,"Web publica con descripcion, capturas, link a App Store y politica de privacidad.","Alta (orange), Marketing (pink)",,,,Sprint 4 - Lanzamiento,,,,
Submission a Apple Review,Subir build final + completar todos los formularios de App Store Connect.,"Critica (red), Lanzamiento (red)",,,,Sprint 4 - Lanzamiento,,,,
Submission a Google Play,Subir AAB + completar Play Console (puede tardar mas por reviews manuales).,"Critica (red), Lanzamiento (red)",,,,Sprint 4 - Lanzamiento,,,,
Estrategia de lanzamiento,"Product Hunt, redes sociales, email a beta testers, prensa especializada.","Alta (orange), Marketing (pink)",,,,Sprint 4 - Lanzamiento,,,,
Soporte al usuario,Email de soporte + seccion de FAQ + tiempo de respuesta menor a 48h.,"Alta (orange), Operaciones (black)",,,,Post-lanzamiento,,,,
Responder resenas App Store,Responder a todas las resenas en las primeras 24-48h (mejora ranking ASO).,"Alta (orange), Marketing (pink)",,,,Post-lanzamiento,,,,
Health Connect Android,Una vez Expo SDK 55+ con Kotlin 2.x este disponible. Equivalente Android de Apple Health.,"Media (yellow), Producto (sky)",,,,Post-lanzamiento,,,,
Notificaciones push remotas,Migrar a notificaciones servidas desde backend (campanas personalizadas + re-engagement).,"Media (yellow), Producto (sky)",,,,Post-lanzamiento,,,,
Modo oscuro,Implementar dark mode completo en todas las pantallas.,"Baja (blue), Producto (sky)",,,,Post-lanzamiento,,,,
Apple Watch companion app,App nativa para watchOS con tracking rapido + recordatorios en muneca.,"Baja (blue), Producto (sky)",,,,Post-lanzamiento,,,,
Widgets iOS y Android,Widget en pantalla de inicio con dia del ciclo + sesion de hoy.,"Media (yellow), Producto (sky)",,,,Post-lanzamiento,,,,
Integraciones (Strava y Garmin),Importar entrenos desde otras plataformas ademas de Apple Health.,"Media (yellow), Producto (sky)",,,,Post-lanzamiento,,,,
Compartir con pareja,Funcion para compartir el calendario del ciclo con tu pareja (con permisos).,"Baja (blue), Producto (sky)",,,,Post-lanzamiento,,,,
Community Foro in-app,"Espacio para que las usuarias compartan experiencias por condicion (PCOS, endo).","Baja (blue), Producto (sky)",,,,Post-lanzamiento,,,,
Recetas con generacion IA,Generar recetas personalizadas via IA respetando dieta + alergias + macros del dia.,"Media (yellow), Producto (sky)",,,,Post-lanzamiento,,,,
Coaching humano premium,Tier premium con seguimiento humano por una dietista o coach (revenue extra).,"Baja (blue), Negocio (green)",,,,Post-lanzamiento,,,,
Expansion a mas idiomas,"Aleman, portugues o catalan segun el mercado objetivo.","Baja (blue), Producto (sky)",,,,Post-lanzamiento,,,,
Optimizacion de costes Supabase,Una vez con volumen. Analizar consumo + indices + cache para reducir gasto.,"Media (yellow), Infraestructura (black)",,,,Post-lanzamiento,,,,
GDPR compliance auditada,Una vez en produccion. Auditoria legal con abogado especializado en datos sensibles.,"Alta (orange), Legal (purple)",,,,Post-lanzamiento,,,,
Modo embarazo dedicado,Programa especifico para embarazadas: nutricion prenatal + ejercicios adaptados por trimestre.,"Baja (blue), Producto (sky)",,,,Backlog,,,,
Modo perimenopausia y menopausia,Adaptacion completa para etapas vitales sin ciclo activo.,"Baja (blue), Producto (sky)",,,,Backlog,,,,
Sincronizacion entre dispositivos,Que la app funcione en iPad / iPhone / web del mismo usuario.,"Baja (blue), Producto (sky)",,,,Backlog,,,,
Gamificacion,Streaks + badges por consistencia + niveles para motivar a las usuarias menos constantes.,"Baja (blue), Producto (sky)",,,,Backlog,,,,
Exportar datos personales (GDPR),Boton Descargar mis datos en formato JSON o PDF (requisito GDPR).,"Media (yellow), Legal (purple)",,,,Backlog,,,,
